iter	Passed	Remaining
1541	214566	481175
1542	214682	480984
1543	214866	480943
1544	215023	480844
1545	215106	480580
1546	215246	480443
1547	215355	480236
1548	215568	480262
1549	215669	480037
1550	215786	479850
1551	215904	479663
1552	216091	479631
1553	216247	479529
1554	216394	479407
1555	216554	479315
1556	216803	479418
1557	216937	479267
1558	217062	479097
1559	217205	478966
1560	217342	478822
1561	217503	478729
1562	217628	478560
1563	217799	478490
1564	217992	478469
1565	218221	478527
1566	218398	478469
1567	218521	478294
1568	218734	478315
1569	218960	478366
1570	219052	478123
1571	219201	478004
1572	219417	478030
1573	219522	477817
1574	219630	477608
1575	219764	477456
1576	219873	477252
1577	219999	477083
1578	220191	477057
1579	220379	477023
1580	220573	477002
1581	220681	476793
1582	220810	476631
1583	220884	476352
1584	220997	476156
1585	221200	476152
1586	221379	476098
1587	221528	475980
1588	221781	476084
1589	221880	475856
1590	221979	475629
1591	222138	475532
1592	222301	475443
1593	222422	475264
1594	222569	475139
1595	222780	475154
1596	223029	475246
1597	223143	475051
1598	223212	474762
1599	223314	474542
1600	223465	474427
1601	223594	474266
1602	223717	474090
1603	223833	473901
1604	223942	473698
1605	224124	473647
1606	224316	473618
1607	224440	473445
1608	224574	473295
1609	224705	473137
1610	224847	473004
1611	225005	472902
1612	225137	472746
1613	225309	472676
1614	225432	472500
1615	225543	472301
1616	225641	472074
1617	225761	471895
1618	225917	471790
1619	226050	471635
1620	226170	471456
1621	226373	471448
1622	226567	471421
1623	226756	471385
1624	226918	471291
1625	227022	471078
1626	227114	470839
1627	227200	470590
1628	227315	470398
1629	227495	470342
1630	227634	470203
1631	227887	470297
1632	228015	470133
1633	228133	469950
1634	228201	469662
1635	228338	469516
1636	228442	469304
1637	228576	469153
1638	228733	469050
1639	228814	468791
1640	228966	468677
1641	229124	468574
1642	229335	468581
1643	229443	468377
1644	229650	468376
1645	229737	468128
1646	229842	467919
1647	229918	467649
1648	229993	467379
1649	230219	467415
1650	230297	467151
1651	230397	466930
1652	230556	466830
1653	230624	466547
1654	230755	466391
1655	230841	466143
1656	231015	466074
1657	231166	465957
1658	231378	465964
1659	231480	465750
1660	231629	465629
1661	231768	465488
1662	231849	465232
